Befolkning,Alder,Alternativ,År
573717,80 år eller eldre,Hovedalternativ (MMM),2047
602544,0-9 år,Hovedalternativ (MMM),2048
614180,10-19 år,Hovedalternativ (MMM),2048
1355042,20-39 år,Hovedalternativ (MMM),2048
1535559,40-59 år,Hovedalternativ (MMM),2048
680303,60-69 år,Hovedalternativ (MMM),2048
635671,70-79 år,Hovedalternativ (MMM),2048
588646,80 år eller eldre,Hovedalternativ (MMM),2048
599113,0-9 år,Hovedalternativ (MMM),2049
617779,10-19 år,Hovedalternativ (MMM),2049
1347234,20-39 år,Hovedalternativ (MMM),2049
1534293,40-59 år,Hovedalternativ (MMM),2049
689327,60-69 år,Hovedalternativ (MMM),2049
630787,70-79 år,Hovedalternativ (MMM),2049
604727,80 år eller eldre,Hovedalternativ (MMM),2049
595337,0-9 år,Hovedalternativ (MMM),2050
620962,10-19 år,Hovedalternativ (MMM),2050
1338950,20-39 år,Hovedalternativ (MMM),2050
1532830,40-59 år,Hovedalternativ (MMM),2050
698876,60-69 år,Hovedalternativ (MMM),2050
625746,70-79 år,Hovedalternativ (MMM),2050
620930,80 år eller eldre,Hovedalternativ (MMM),2050
591340,0-9 år,Hovedalternativ (MMM),2051
623596,10-19 år,Hovedalternativ (MMM),2051
1332025,20-39 år,Hovedalternativ (MMM),2051
1529022,40-59 år,Hovedalternativ (MMM),2051
708822,60-69 år,Hovedalternativ (MMM),2051
622976,70-79 år,Hovedalternativ (MMM),2051
635374,80 år eller eldre,Hovedalternativ (MMM),2051
587240,0-9 år,Hovedalternativ (MMM),2052
625586,10-19 år,Hovedalternativ (MMM),2052
1327078,20-39 år,Hovedalternativ (MMM),2052
1524216,40-59 år,Hovedalternativ (MMM),2052
718752,60-69 år,Hovedalternativ (MMM),2052
618943,70-79 år,Hovedalternativ (MMM),2052
650061,80 år eller eldre,Hovedalternativ (MMM),2052
583199,0-9 år,Hovedalternativ (MMM),2053
626802,10-19 år,Hovedalternativ (MMM),2053
1323092,20-39 år,Hovedalternativ (MMM),2053
1519692,40-59 år,Hovedalternativ (MMM),2053
726552,60-69 år,Hovedalternativ (MMM),2053
616362,70-79 år,Hovedalternativ (MMM),2053
664187,80 år eller eldre,Hovedalternativ (MMM),2053
579344,0-9 år,Hovedalternativ (MMM),2054
627189,10-19 år,Hovedalternativ (MMM),2054
1321241,20-39 år,Hovedalternativ (MMM),2054
1514351,40-59 år,Hovedalternativ (MMM),2054
733826,60-69 år,Hovedalternativ (MMM),2054
615430,70-79 år,Hovedalternativ (MMM),2054
675854,80 år eller eldre,Hovedalternativ (MMM),2054
575812,0-9 år,Hovedalternativ (MMM),2055
626696,10-19 år,Hovedalternativ (MMM),2055
1320127,20-39 år,Hovedalternativ (MMM),2055
1508894,40-59 år,Hovedalternativ (MMM),2055
740399,60-69 år,Hovedalternativ (MMM),2055
615185,70-79 år,Hovedalternativ (MMM),2055
686889,80 år eller eldre,Hovedalternativ (MMM),2055
572705,0-9 år,Hovedalternativ (MMM),2056
625206,10-19 år,Hovedalternativ (MMM),2056
1319893,20-39 år,Hovedalternativ (MMM),2056
1502779,40-59 år,Hovedalternativ (MMM),2056
746230,60-69 år,Hovedalternativ (MMM),2056
618292,70-79 år,Hovedalternativ (MMM),2056
695117,80 år eller eldre,Hovedalternativ (MMM),2056
570127,0-9 år,Hovedalternativ (MMM),2057
622655,10-19 år,Hovedalternativ (MMM),2057
1320365,20-39 år,Hovedalternativ (MMM),2057
1496045,40-59 år,Hovedalternativ (MMM),2057
751216,60-69 år,Hovedalternativ (MMM),2057
624314,70-79 år,Hovedalternativ (MMM),2057
701278,80 år eller eldre,Hovedalternativ (MMM),2057
568121,0-9 år,Hovedalternativ (MMM),2058
619683,10-19 år,Hovedalternativ (MMM),2058
1323099,20-39 år,Hovedalternativ (MMM),2058
1488292,40-59 år,Hovedalternativ (MMM),2058
754064,60-69 år,Hovedalternativ (MMM),2058
632354,70-79 år,Hovedalternativ (MMM),2058
705759,80 år eller eldre,Hovedalternativ (MMM),2058
566714,0-9 år,Hovedalternativ (MMM),2059
616330,10-19 år,Hovedalternativ (MMM),2059
1327193,20-39 år,Hovedalternativ (MMM),2059
1480471,40-59 år,Hovedalternativ (MMM),2059
752634,60-69 år,Hovedalternativ (MMM),2059
641834,70-79 år,Hovedalternativ (MMM),2059
711250,80 år eller eldre,Hovedalternativ (MMM),2059
565920,0-9 år,Hovedalternativ (MMM),2060
612639,10-19 år,Hovedalternativ (MMM),2060
1331610,20-39 år,Hovedalternativ (MMM),2060
1471617,40-59 år,Hovedalternativ (MMM),2060
750828,60-69 år,Hovedalternativ (MMM),2060
651853,70-79 år,Hovedalternativ (MMM),2060
716724,80 år eller eldre,Hovedalternativ (MMM),2060
565712,0-9 år,Hovedalternativ (MMM),2061
608729,10-19 år,Hovedalternativ (MMM),2061
1337155,20-39 år,Hovedalternativ (MMM),2061
1461560,40-59 år,Hovedalternativ (MMM),2061
747574,60-69 år,Hovedalternativ (MMM),2061
662315,70-79 år,Hovedalternativ (MMM),2061
722721,80 år eller eldre,Hovedalternativ (MMM),2061
566044,0-9 år,Hovedalternativ (MMM),2062
604715,10-19 år,Hovedalternativ (MMM),2062
1339502,20-39 år,Hovedalternativ (MMM),2062
1456885,40-59 år,Hovedalternativ (MMM),2062
742423,60-69 år,Hovedalternativ (MMM),2062
672721,70-79 år,Hovedalternativ (MMM),2062
727908,80 år eller eldre,Hovedalternativ (MMM),2062
566850,0-9 år,Hovedalternativ (MMM),2063
600749,10-19 år,Hovedalternativ (MMM),2063
1342962,20-39 år,Hovedalternativ (MMM),2063
1451986,40-59 år,Hovedalternativ (MMM),2063
736830,60-69 år,Hovedalternativ (MMM),2063
681113,70-79 år,Hovedalternativ (MMM),2063
734088,80 år eller eldre,Hovedalternativ (MMM),2063
568058,0-9 år,Hovedalternativ (MMM),2064
596971,10-19 år,Hovedalternativ (MMM),2064
1346294,20-39 år,Hovedalternativ (MMM),2064
1445933,40-59 år,Hovedalternativ (MMM),2064
732992,60-69 år,Hovedalternativ (MMM),2064
688964,70-79 år,Hovedalternativ (MMM),2064
